Application Name, Application Label, Group ID, Role, SAML Role
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g4hicci0TZ2zF7q0x7,Flex_Full_Access,FlexCloud_ReadOnly
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g4hicci0TZ2zF7q0x7,Flex_Full_Access,Flex_Full_Access
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g4hicci0TZ2zF7q0x7,Flex_Full_Access,Role_2_test_Roles
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g238yp0kvDEI7E72p7,AWSServiceRoleForRDS,FlexCloud_Corp_L3
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g238yp0kvDEI7E72p7,AWSServiceRoleForRDS,FlexCloud_DSSupport
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g238yp0kvDEI7E72p7,AWSServiceRoleForRDS,FlexCloud_ReadOnly
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g23bwer9RvukXzs2p7,AWSServiceRoleForRDS,FlexCloud_DSSupport
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g21mjv1jFHENBWC2p7,FlexCloud_ReadOnly,FlexCloud_ReadOnly
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g21mjv1jFHENBWC2p7,FlexCloud_ReadOnly,Role_2_test_Roles
amazon_aws,AW-PRO-IT-EIT-FC_CorpDR_WM_Infinex-JAN-14,00g3c97p2uevcFwiG2p7,EIT-CSS_ESO_Unix-L2_Ops,EIT-CSS_ESO_Unix-L2_Ops
